node,coord0,coord1,aggregate
663,-0.859579,-0.0367365,59
664,-1.06183,0.11021,148
665,-1.06183,0.0367368,148
666,-1.16296,0.0367368,89
667,-1.16296,-0.0367363,89
668,-1.06183,-0.0367363,94
669,-1.06183,-0.110209,94
670,-0.960705,-0.110209,108
671,-1.16296,0.183683,156
672,-1.16296,0.11021,79
673,-1.26408,0.183683,166
674,-1.36521,0.11021,166
675,-1.26408,0.11021,156
676,-1.26408,0.0367368,79
677,-1.36521,0.0367368,156
678,-1.36521,-0.0367363,193
679,-1.26408,-0.0367363,158
680,-1.46634,0.0367367,193
681,-1.46634,-0.0367364,166
682,-1.36521,-0.110209,158
683,-1.16296,-0.110209,187
684,-1.16296,-0.183682,187
685,-1.06183,-0.183682,108
686,-1.26408,-0.110209,89
687,-1.26408,-0.183682,187
688,-1.16296,-0.257155,188
689,-0.556198,-0.257156,74
690,-0.556199,-0.330629,85
691,-0.455072,-0.33063,65
692,-0.657325,-0.183683,54
693,-0.657325,-0.257156,54
694,-0.758452,-0.257156,114
695,-0.758452,-0.330629,114
696,-0.657325,-0.330629,154
697,-0.657326,-0.404102,85
698,-0.556199,-0.404102,106
699,-0.758452,-0.11021,9
700,-0.758452,-0.183683,194
701,-0.859579,-0.11021,101
702,-0.960705,-0.183683,108
703,-0.859578,-0.183683,101
704,-0.859578,-0.257156,194
705,-0.960705,-0.257156,101
706,-0.960705,-0.330629,194
707,-0.859579,-0.330629,114
708,-1.06183,-0.257156,108
709,-1.06183,-0.330629,188
710,-0.960705,-0.404102,189
711,-0.758452,-0.404102,154
712,-0.758453,-0.477575,190
713,-0.657326,-0.477575,85
714,-0.859579,-0.404102,114
715,-0.859579,-0.477575,154
716,-0.758453,-0.551049,190
717,-0.486322,-0.426807,65
718,-0.416445,-0.449511,152
719,-0.587449,-0.50028,106
720,-0.517572,-0.522984,110
721,-0.548822,-0.619161,110
722,-0.478945,-0.641866,140
723,-0.447695,-0.545688,77
724,-0.377818,-0.568393,140
725,-0.688576,-0.573753,190
726,-0.618699,-0.596457,160
727,-0.719826,-0.66993,190
728,-0.681199,-0.788811,160
729,-0.649949,-0.692634,160
730,-0.580072,-0.715338,140
731,-0.611322,-0.811515,195
732,-0.541445,-0.83422,117
733,-0.510195,-0.738043,117
734,-0.642572,-0.907692,195
735,-0.603944,-1.02657,176
736,-0.572695,-0.930397,176
737,-0.502818,-0.953101,161
738,-0.471568,-0.856924,176
739,-0.409068,-0.66457,117
740,-0.339191,-0.687275,86
741,-0.440318,-0.760747,117
742,-0.40169,-0.879629,118
743,-0.370441,-0.783452,116
744,-0.300563,-0.806156,118
745,-0.331813,-0.902334,120
746,-0.261936,-0.925039,120
747,-0.230686,-0.828861,120
748,-0.43294,-0.975806,118
749,-0.363063,-0.998511,120
750,-0.394313,-1.09469,100
751,-0.324436,-1.11739,100
752,-0.293186,-1.02122,100
753,-0.223309,-1.04392,69
754,-0.192059,-0.947744,69
755,-0.534067,-1.04928,161
756,-0.46419,-1.07198,191
757,-0.565317,-1.14546,161
758,-0.52669,-1.26434,179
759,-0.49544,-1.16816,191
760,-0.425563,-1.19087,100
761,-0.456813,-1.28704,179
762,-0.386936,-1.30975,123
763,-0.355686,-1.21357,123
764,-0.488063,-1.38322,179
765,-0.418186,-1.40593,123
766,-0.317059,-1.33245,138
767,-0.254559,-1.1401,96
768,-0.184682,-1.1628,138
769,-0.153432,-1.06663,97
770,-0.285809,-1.23628,96
771,-0.215932,-1.25898,138
772,-0.114805,-1.18551,139
773,0.0726946,-0.608443,91
774,0.142572,-0.631147,153
775,0.173822,-0.53497,90
776,-0.0284324,-0.681916,68
777,0.0414447,-0.70462,91
778,0.0101948,-0.800798,153
779,0.0800719,-0.823503,84
780,0.111322,-0.727325,153
781,0.181199,-0.75003,21
782,0.212449,-0.653852,21
783,-0.129559,-0.755388,68
784,-0.0596823,-0.778093,91
785,-0.160809,-0.851566,68
786,-0.122182,-0.970449,97
787,-0.0909323,-0.874271,69
788,-0.0210552,-0.896976,97
789,-0.0523051,-0.993153,97
790,0.017572,-1.01586,112
791,0.048822,-0.91968,84
792,-0.0835551,-1.08933,112
793,-0.013678,-1.11204,139
794,0.0874492,-1.03856,139
795,0.149949,-0.846207,112
796,0.219826,-0.868912,159
797,0.251076,-0.772734,159
798,0.118699,-0.942385,112
799,0.188576,-0.965089,159
800,0.289703,-0.891616,78
801,0.255635,-0.594411,21
802,0.298822,-0.53497,21
803,0.294263,-0.713293,39
804,0.337449,-0.653852,39
805,0.419263,-0.713293,6
806,0.46245,-0.653852,6
807,0.380636,-0.594411,39
808,0.423822,-0.53497,83
809,0.33289,-0.832175,78
810,0.376077,-0.772734,78
811,0.414704,-0.891616,122
812,0.539704,-0.891616,136
813,0.45789,-0.832175,122
814,0.501077,-0.772734,122
815,0.582891,-0.832175,136
816,0.626077,-0.772734,52
817,0.544263,-0.713293,24
818,0.664705,-0.891616,162
819,0.789705,-0.891616,177
820,0.707891,-0.832175,162
821,0.751078,-0.772734,58
822,0.669264,-0.713293,52
823,0.505636,-0.594411,6
824,0.548822,-0.53497,6
825,0.58745,-0.653852,24
826,0.71245,-0.653852,52
827,0.630636,-0.594411,24
828,0.673823,-0.53497,19
829,0.755637,-0.594411,5
830,0.798823,-0.53497,5
831,0.717009,-0.475529,19
832,0.794264,-0.713293,58
833,0.837451,-0.653852,58
834,0.919264,-0.713293,103
835,0.962451,-0.653852,163
836,0.880637,-0.594411,104
837,0.923823,-0.53497,104
838,0.842009,-0.475529,5
839,0.832892,-0.832175,177
840,0.876078,-0.772734,177
841,0.914705,-0.891616,165
842,1.03971,-0.891616,196
843,0.957892,-0.832175,165
844,1.00108,-0.772734,131
845,1.08289,-0.832175,196
846,1.12608,-0.772734,196
847,1.04426,-0.713293,164
848,1.16471,-0.891616,167
849,1.20789,-0.832175,167
850,1.16926,-0.713293,196
851,1.00564,-0.594411,163
852,1.04882,-0.53497,163
853,0.96701,-0.475529,104
854,1.08745,-0.653852,164
855,1.13064,-0.594411,164
856,1.09201,-0.475529,163
857,0.601127,-0.118882,63
858,0.644314,-0.0594411,109
859,0.639755,-0.237764,35
860,0.682941,-0.178323,72
861,0.764755,-0.237764,75
862,0.807941,-0.178323,75
863,0.726127,-0.118882,72
864,0.769314,-0.0594411,72
865,0.678382,-0.356647,81
866,0.721568,-0.297206,75
867,0.760196,-0.416088,19
868,0.885196,-0.416088,5
869,0.803382,-0.356647,111
870,0.846568,-0.297206,111
871,0.928382,-0.356647,178
872,0.971569,-0.297206,178
873,0.889755,-0.237764,111
874,1.0102,-0.416088,133
875,1.05338,-0.356647,178
876,1.01475,-0.237764,178
877,0.851127,-0.118882,147
878,0.894314,-0.0594411,147
879,0.932941,-0.178323,111
880,0.976127,-0.118882,197
881,0.0818135,0.0594411,38
882,0.206814,0.0594411,170
883,0.245441,0.178323,170
884,0.120441,0.178323,38
885,0.331814,0.0594411,145
886,0.456814,0.0594411,82
887,0.495441,0.178323,113
888,0.370441,0.178323,145
889,0.409068,0.297206,145
890,0.534068,0.297206,43
891,0.572695,0.416088,43
892,0.447695,0.416088,41
893,0.159068,0.297206,38
894,0.284068,0.297206,40
895,0.322695,0.416088,40
896,0.197695,0.416088,135
897,-0.03125,0.0961777,143
898,0.007377,0.21506,168
899,-0.09375,0.288533,1
900,-0.132377,0.169651,70
901,0.046004,0.333942,168
902,0.084631,0.452824,168
903,-0.016496,0.526297,1
904,-0.055123,0.407415,1
905,-0.15625,0.480888,26
906,-0.117623,0.59977,8
907,-0.21875,0.673243,7
908,-0.257377,0.554361,25
909,-0.233504,0.243124,26
910,-0.194877,0.362006,26
911,-0.296004,0.435479,25
912,-0.334631,0.316597,25
913,-0.101127,0,143
914,-0.202254,0.0734733,70
915,-0.303381,0,70
916,-0.202254,-0.0734733,48
917,-0.303381,0.146947,37
918,-0.404508,0.22042,142
919,-0.505635,0.146947,13
920,-0.404508,0.0734733,37
921,-0.505635,0,76
922,-0.606762,0.0734733,13
923,-0.707889,0,9
924,-0.606762,-0.0734733,76
